
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 585
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 585, -, 1.0, -, 1.5, 4.2, 3.6, "Baja California", 1987, "Cerro Prieto", 5.5, strike slip, 3.43, 4.46, 471.53, 0.1625, 1.0, RSN585_BAJA_CPE161.AT2, RSN585_BAJA_CPE251.AT2 , RSN585_BAJA_CPE-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-585 RotD50 pSa (g)
0.046,2.125418,1.820906,1.13
0.048,1.884148,1.760667,1.16
0.05,1.957769,1.739571,1.28
0.055,2.134283,1.525044,1.39
0.06,2.172704,1.719451,1.4
0.065,2.442843,1.74375,1.68
0.067,2.494215,1.763262,1.74
0.07,2.718758,1.736335,1.7
0.075,2.887495,1.613035,1.64
0.08,2.836183,1.556917,1.76
0.085,3.010536,1.717781,1.84
0.09,3.167022,1.863559,1.53
0.095,3.177596,1.579857,1.33
0.1,2.984298,1.747074,1.61
0.11,2.536191,1.942943,1.7
0.12,2.91298,2.171142,1.83
0.13,2.758254,2.181391,2.05
0.133,2.567168,2.213034,2.09
0.14,2.784625,1.806218,2.03
0.15,2.673469,1.338895,1.79
0.16,1.891436,1.543994,1.6
0.17,1.774905,1.606534,1.45
0.18,1.807664,1.18813,1.26
0.19,1.569717,1.036924,1.35
0.2,1.596787,1.154344,1.37
0.22,1.825927,1.271312,1.27
0.24,1.476283,1.512119,0.96
0.25,1.09479,1.559856,0.875
0.26,1.123459,1.569159,0.835
0.28,1.085012,1.56296,0.992
0.29,1.047869,1.58946,1.06
0.3,1.010978,1.575802,1.13
0.32,1.095555,1.508707,1.06
0.34,1.249173,1.418983,0.934
0.35,1.297116,1.389985,0.87
0.36,1.293147,1.35534,0.816
0.38,1.262793,1.28713,0.731
0.4,1.036135,1.499584,0.654
0.42,0.798289,1.618868,0.572
0.44,0.6866626,1.5435,0.482
0.45,0.6257605,1.450114,0.436
0.46,0.5630516,1.334529,0.39
0.48,0.5842036,1.237358,0.306
0.5,0.6617318,1.134313,0.274
0.55,0.7783148,1.031688,0.236
0.6,0.8301797,1.17175,0.244
0.65,0.7999284,1.371694,0.259
0.667,0.8284929,1.395163,0.275
0.7,0.8657258,1.408049,0.278
0.75,0.8507769,1.245012,0.264
0.8,0.7836562,0.9405441,0.249
0.85,0.6348334,0.7228927,0.233
0.9,0.4814755,0.6749766,0.212
0.95,0.4451904,0.6250759,0.193
1.0,0.4424704,0.5752314,0.18
1.1,0.4235718,0.4808176,0.153
1.2,0.3935398,0.6118586,0.128
1.3,0.3599122,0.6071727,0.107
1.4,0.3676878,0.5093162,0.0907
1.5,0.3718416,0.4148092,0.0801
1.6,0.3528436,0.3322766,0.068
1.7,0.2968553,0.2890983,0.0522
1.8,0.2716266,0.2465483,0.0447
1.9,0.2425662,0.2074664,0.0388
2.0,0.2126415,0.1727546,0.0332
2.2,0.1592032,0.1172493,0.0241
2.4,0.1349498,0.07907011,0.0215
2.5,0.1305126,0.07030646,0.0202
2.6,0.1251598,0.0645971,0.019
2.8,0.1127044,0.05495071,0.0168
3.0,0.09947104,0.04719441,0.0148
3.2,0.08676302,0.04092934,0.013
3.4,0.07524993,0.03666155,0.0115
3.5,0.07000972,0.0348845,0.0109
3.6,0.06511945,0.0330844,0.0102
3.8,0.0563519,0.02958148,0.00909
4.0,0.05059138,0.02634381,0.00809
4.2,0.04669714,0.02494925,0.00722
4.4,0.04397051,0.02415534,0.00647
4.6,0.04017213,0.02181428,0.00581
4.8,0.03544185,0.02048028,0.00524
5.0,0.03085857,0.01920872,0.00474
5.5,0.0242631,0.01277623,0.00375
6.0,0.01937976,0.01066641,0.00302
6.5,0.01544587,0.00904515,0.00247
7.0,0.01285416,0.0077711,0.00206
